Вид,Промокод,Операция,Тип,Категория,Дата и время заказа,Месяц,Закупочная стоимость,Скидка в ден. ед.,Скидка в процентах,Сумма,Итоговая сумма
Услуга,,Доход,Безнал,Обычная стрижка,01.05.2021,5,0,0,,3500,3500
Товар,,Расход,Наличные,Закупка резинок,01.05.2021,5,250,0,,500,500
Услуга,,Доход,Безнал,Обычная стрижка,01.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.05.2021,5,0,0,,5500,5500
Товар,,Расход,Наличные,Закупка резинок,01.05.2021,5,250,0,,500,500
Услуга,,Доход,Наличные,Обычная стрижка,01.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Безнал,Обычная стрижка,01.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Наличные,Стрижка и укладка,01.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.05.2021,5,0,0,,5500,5500
Товар,,Расход,Безнал,Закупка резинок,01.05.2021,5,250,0,,500,500
Услуга,,Доход,Наличные,Стрижка и укладка,01.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,01.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Обычная стрижка,01.05.2021,5,0,0,,3500,3500
Товар,,Расход,Безнал,Закупка полотенец,01.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Наличные,Стрижка и укладка,01.05.2021,5,0,0,,4500,4500
Товар,,Доход,Безнал,Продажа шампуня,01.05.2021,5,250,0,,500,500
Товар,,Расход,Безнал,Закупка полотенец,01.05.2021,5,500,0,,1000,1000
Товар,,Расход,Безнал,Закупка полотенец,01.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Наличные,Обычная стрижка,01.05.2021,5,0,0,,3500,3500
Услуга,,Доход,Наличные,Стрижка старшего мастера,01.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Наличные,Стрижка старшего мастера,01.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка и укладка,01.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Стрижка старшего мастера,01.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Безнал,Обычная стрижка,02.05.2021,5,0,0,,3500,3500
Товар,,Доход,Безнал,Продажа геля,02.05.2021,5,150,0,,300,300
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,02.05.2021,5,500,0,,1000,1000
Товар,,Доход,Безнал,Продажа шампуня и кондиционера,02.05.2021,5,500,0,,1000,1000
Услуга,,Доход,Наличные,Стрижка и укладка,02.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,02.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка и укладка,02.05.2021,5,0,0,,4500,4500
Услуга,,Доход,Безнал,Стрижка старшего мастера,02.05.2021,5,0,0,,5500,5500
Товар,,Доход,Безнал,Продажа геля,02.05.2021,5,150,0,,300,300
Услуга,,Доход,Наличные,Стрижка старшего мастера,02.05.2021,5,0,0,,5500,5500
Услуга,,Доход,Наличные,Стрижка старшего мастера,02.05.2021,5,0,0,,5500,5500
